X,Y,xcoord,ycoord,imb_nbr_logloc,imb_type,addr_numero,addr_nom_voie
-1.55792104980855,47.2147346609171,-173426.97796081,5977194.94055947,16,IM,9,Rue du Couédic,
-1.54998518222057,47.2287356420502,-172543.561221914,5979489.79805078,1,PA,15,Rue Maurice Utrillo,
-1.5492450469001,47.2240935925989,-172461.16973492,5978728.86692962,7,IM,3,Avenue Henri Ollivier,
-1.55017300724068,47.2237189660624,-172564.469807511,5978667.46053904,42,IM,36,Rue Henri Cochard,
-1.57421839993388,47.2262929184319,-175241.190678041,5979089.37513383,1,PA,58,Rue Camille Flammarion,
-1.56945308093057,47.2168546035488,-174710.717793125,5977542.37486467,6,IM,2,Avenue René Bazin,
-1.55609804088332,47.2164431397509,-173224.041535542,5977474.93957675,11,IM,12,Rue des Trois Croissants,
-1.56582361873187,47.2241804520231,-174306.687909313,5978743.10443398,8,IM,6,Rue d’Aunis,
-1.56604677496747,47.2248885622356,-174331.529547827,5978859.17471557,1,PA,6,Cour Sans Nom,
-1.54967896256012,47.232471949272,-172509.473005241,5980102.30706984,1,PA,13,Rue Général Lanrezac,
-1.57204417936961,47.2215587869384,-174999.157551955,5978313.38623072,1,PA,11,Rue Alfred de Musset,
-1.56759733606319,47.2274741120609,-174504.137219447,5979282.9997283,15,IM,3,Square Saint Pasquier,
-1.57200100685247,47.2198651460488,-174994.351609331,5978035.79215316,1,PA,74,Rue de la Bastille,
-1.55183476907457,47.225439141364,-172749.456288679,5978949.42427283,1,PA,37,Rue Jean Emile Laboureur,
-1.57133752693767,47.2283545332215,-174920.493363064,5979427.32365724,101,IM,151,Rue des Hauts Pavés,
-1.56618122137656,47.2183949852468,-174346.496053626,5977794.83448735,9,IM,23,Rue Deshoulières,
-1.57100888776627,47.2305407874105,-174883.909417848,5979785.71795365,1,PA,64,Boulevard Lelasseur,
-1.55403532236462,47.2149777685676,-172994.420760391,5977234.78241257,2,PA,4,Rue du Bouffay,
-1.55404538771597,47.2156627175785,-172995.541230178,5977347.03670246,2,PA,17,Rue de la Marne,
-1.5422823090484,47.2324602329454,-171686.081302743,5980100.3862942,9,IM,31,Rue du Coudray,
-1.55709952516588,47.2231173990647,-173335.526255914,5978568.85642453,16,IM,42,Rue Paul Bellamy,
-1.5561766736698,47.228059334517,-173232.794897292,5979378.93264398,10,IM,7,Rue de l’Ouche de Versailles,
-1.57374538119983,47.2140879629737,-175188.534473431,5977088.95694176,1,PA,38,Rue Alfred Riom,
-1.5564967984181,47.2102728511878,-173268.431021264,5976463.74644853,1,PA,3,Rue Bias,
-1.56127085162972,47.2212127177193,-173799.876193801,5978256.66347023,10,IM,21,Rue Auguste Brizeux,
-1.54729289420831,47.2291660371266,-172243.857091319,5979560.35237858,1,PA,27,Rue Paul Deltombe,
-1.56968137778196,47.2216114922358,-174736.131682372,5978322.02496841,1,PA,3,Avenue Louis Vasseur,
-1.54760126999944,47.2275893713261,-172278.185327361,5979301.89358351,1,PA,39,Rue Desaix,
-1.55527340863393,47.2190546529686,-173132.243893448,5977902.95244244,8,IM,11,Rue Léon Blum,
-1.57618278014891,47.2152406038048,-175459.864483303,5977277.85753935,1,PA,21,Avenue Mabileau,
-1.55007123642869,47.211359749438,-172553.140732541,5976641.85989597,9,IM,1,Rue Perrault,
-1.55632076177301,47.2137380777665,-173248.834711571,5977031.61680022,14,IM,6,Allée Brancas,
-1.56577081857309,47.2236369606625,-174300.810222523,5978654.01879524,10,IM,1,Rue de Saintonge,
-1.5426295195784,47.2241188812109,-171724.73260214,5978733.01209311,2,PA,43,Rue Gaston Turpin,
